version,date,change
14.7,2026-08-08,"Per generator - gal is now lens-aware. Under POOLED it stays an even split with an each-engine tooltip, because paralleled inverters share load regardless of outlet. Under BOTH GEN or a solo lens it shows Gen 1/Gen 2 weighted by the actual per-device wiring - each bus\x27s hourly curve energy for that day, scaled to reconcile exactly with Fuel spent - so unpooled refueling plans use the true unequal split. One-generator days show the single full number in any lens."
14.8,2026-08-08,"Per-generator fuel split into two aligned calendar rows, Gen 1 - gal and Gen 2 - gal, replacing the paired cell that was widening columns. Same math per lens: even halves under POOLED, wiring-weighted under BOTH GEN and the solo lenses, and on one-generator days Gen 1 carries the full number while Gen 2 shows an em dash."
14.9,2026-08-08,"The fuel chart gains color-coded per-generator burn bars - Gen 1 blue, Gen 2 pink, stacked so the bar height is that day\x27s Fuel spent - centered on each day beneath the tank line. They follow the active lens (even halves pooled, wiring-weighted unpooled, single blue bar on one-generator days) and an ENGINES ON/OFF toggle in the Fuel header shows or hides them, remembered per browser. The tank line and floor line stack-exempt as before."
15.0,2026-08-08,"Fuel-floor line fixed: the per-generator bars\x27 stacked axis was stacking the two chart lines too, drawing the flat 5-gallon floor as a slope riding the tank curve - the lines now opt out of stacking, same cure as the power chart needed. The fuel-header toggle is renamed By Gen, and the word engine is retired from all interface text in favor of generator."
15.1,2026-08-08,"Day chips now name the problem domain and let color carry severity: amber LOW is FUEL and amber HOT is POWER, matching the red breach chips of the same names. OK, BOTH, and the phase labels are unchanged."
15.2,2026-08-08,"Fuel block reordered so the per-generator components sit above the Fuel spent total they sum to: Delivered, Start of day, Gen 1, Gen 2, Fuel spent, Fuel left. Timing tooltips added to the row labels: Start of day is the tank at the 5a dawn, Fuel left is the tank when the model day ends at the next 5a dawn."
15.3,2026-08-08,"Per-generator fuel basis is now an explicit Split control in the Fuel header - WIRED (default: each generator burns exactly its assigned devices, hour by hour, reconciled to Fuel spent) or SHARED (paralleled generators burn evenly regardless of outlet) - driving both the Gen 1/Gen 2 calendar rows and the chart bars, decoupled from the power lens and remembered per browser. WIRED is the default while the parallel kit is unconfirmed; flip to SHARED for refueling if pooling is verified."
15.4,2026-08-11,"Fridge coolers - DC qty corrected 2 to 1 in devices.csv per camp spreadsheet and physical count (one Dometic CFX3 100, 99 L). Qty 2 traced to a 7/13 transcription error when the device table was first built. Fridge line 3.84 to 1.92 kWh/day; Never-cut battery core drops 80 W. Committed directly on GitHub by Asad."
15.5,2026-08-11,"Chest freezer duty set to 0.75 in every hourly cell of schedule.csv (was 1.0). Compressors cycle rather than run flat out: 75 percent sits between the camp spreadsheet 58 percent spec-sheet duty and the old 100 percent ceiling, chosen for playa heat, dusty coils, and lid traffic. Freezers now bill 7.2 kWh/day and 101 kWh for the event (was 9.6 and 134); peak stack counts them at 300 W. Qty, 200 W each, and 900 W surge untouched; still Never cut on Battery."
15.6,2026-08-11,"Fridge coolers - DC duty set to 0.5 in every hourly cell (was 1.0). Spreadsheet-exact would be 0.42 (10 of 24 h compressor runtime, no inverter tax on 24 V DC); 0.5 chosen as the playa pad, same conservative reasoning as the freezer 0.75. Fridge bills 0.96 kWh/day and 13 kWh event (was 1.92 and 27). Qty 1, 80 W, 200 W surge untouched."
15.7,2026-08-11,"Pumps corrected to nameplate: running 36 to 90 W each and surge 110 to 180 W per Pentair Aqua King II Premium 4.0 datasheet (15 A fuse each - size the AC to DC brick per pump accordingly). Schedule window now 6a-9p at 0.25 duty (was 7a-9p at 1.0): pressure-switch pumps draw only while a faucet is open. Bills 720 Wh/day, 10 kWh event (was 1,080 Wh/day). Supersedes the sheet 36 W, an admitted estimate carried from last year; verify sticker at load-in."
15.8,2026-08-11,"New Off day type: any calendar day marked Off seeds every device at Qty 0 by default (index.html change - zeroOffDays() runs when per-day state builds from committed CSVs and on Reset; manual browser edits on top persist as usual). Tue 8/25 set to Off with ACs and E-bikes 0 in calendar_plan.csv - devices for that day to be entered by hand. Deliveries, generator count, and headcount untouched. Also note: a second coffee brew was drafted and withdrawn before commit; coffee remains 1.5 h/day per the camp sheet."
15.9,2026-08-12,"Fridge coolers - DC label corrections, math unchanged: volts 24 to 120 and note rewritten - the CFX3 100 is dual-input (12/24 V DC and 120 V AC, both cords included per Dometic spec), so on generator power it uses its own AC cord and needs no brick. Old note wrongly implied an external AC-DC brick. Prevents a pointless brick purchase and future mislabeling if DC conversion losses are ever modeled. Spec-sheet average draw at 90F is about 19 W vs our modeled 40 W average - row stays conservative."
16.0,2026-08-12,"Kitchen floods reshaped to one switch-actuatable block: on 7 PM, off 7 AM - the 11p/12a half-duty cells (unactuatable unless the 6 floods are split across two switches) go to full and the 7-8 AM daylight hour drops. Still 12 equivalent hours and 2,160 Wh/day - energy and fuel unchanged. Also recording: the camp sheet flood row is internally inconsistent (hourly grid sums 12 h but Hours Needed says 7, so its own Wh cell understates by 900 Wh/day); the console follows the grid. Version jumps 15.9 to 16.0 to avoid a 15.10-vs-15.1 lookalike in the log."
16.1,2026-08-12,"Device renamed: Fridge coolers - DC is now Fridge cooler in devices.csv and schedule.csv (names key the two files together). The - DC suffix was the old solar-plan feeding label; the CFX3 100 is dual-input and runs on its 120 V AC cord under this year generator-only plan, so the suffix misled. Camp sheet row Fridge coolers - DC maps to console row Fridge cooler for future audits. No code references the name (verified); no math changes."
16.2,2026-08-12,"Devices panel gains a second propagation button: Apply to rest of event copies the selected day device setup onto every later day only, leaving earlier days (hand-built build days, Off Tuesday) untouched; existing button relabeled Apply to all days. Both remain browser-whiteboard actions with confirm dialogs - reset returns all days to committed CSVs. index.html change only; no data or math changes."
16.3,2026-08-12,"Devices panel polish: Apply to rest of event now sits inline right of Apply to all days (added to the shared button style rule it was missing from) and Add item is relabeled Add custom item. index.html only."
16.4,2026-08-13,"Backfill of the 2026-08-12 generator decision - the original row (numbered 16.2 in-session) was never landed because a parallel session claimed 16.2-16.3 for the Devices-panel button work; the settings.csv half of the change did reach the repo 8/12 and was until now unlogged. Content: 2x Westinghouse iGen12000DFc dual-fuel inverter replaces the sold-out Predator 11500 tri-fuel plan. Spec-identical where the model cares: 9,000 W running gasoline per unit, 8,100 W propane, 64 dBA, inverter-class part-load efficiency - gen_bob_watts and gen_alice_watts stay 9000, the 0.88 x 0.8 chain and 12.67 kW usable ceiling stand, kwh_per_gallon 6.5 holds, the -36 gal plan gap is unchanged. Tri-fuel (natural gas) dropped as playa-irrelevant; propane contingency retained. settings.csv note-only edit: Bob and Alice notes name the model. Purchase logistics (Lowes SF pickup 8/18, Reno backup order, 3-yr warranty, unbox/serial-photo protocol) tracked in the project workflow doc, not the console."
16.5,2026-08-13,"Bugfix: SIMULATED badge stuck at 1 day after pressing reset. Cause: v15.8 added zeroOffDays() to the build/reset pipeline but not to base(), the committed-state comparator behind the badge - so the Off day (Tue 8/25) always differed from the baseline and nsim never reached 0; the stuck 1 day was 8/25, not the day being edited. Fix in index.html only: base(i) now mirrors the pipeline - ensureGen normalization plus Off-day zeroing before the PLAN AC/e-bike overrides. Verified by lifting the live functions into a node harness against the committed CSVs, re-run after re-basing onto the live index.html that includes the 16.2-16.3 button changes: pre-fix nsim=1 with day 0 (8/25, Off) mismatching, post-fix nsim=0 after reset, 1 after a single-day edit, 0 after reset again. No CSV or math changes; badge logic only. Process rule added to the workflow doc: claim log version numbers against the freshly fetched live log in the same session, never against session memory."
16.6,2026-08-13,"Sound rig physics corrected, confirmed by music lead (amp routes power+signal to speakers over speakON; main load on the amp). Tops, Subs, and Monitors zeroed as wall loads - E115/E118sw/E110 are passive, their 500/800/300 W are handling ratings the old sheet billed as consumption. QSC Amp 5kW pair corrected 70 W (idle spec) to 900 W (1/8-power wall spec) with day-shaped duty: 0.25 overnight 1a-10a, 0.5 ambient 10a-6p, 1.0 party 6p-1a = 13.25 eq-h, about 24 kWh/day for the whole rig vs about 52 booked before. Surge field 1800 = 1/3-power draw. Verify speaker back panels at load-in."
16.7,2026-08-13,"Housekeeping, zero math change: the three passive speaker rows (Tops, Subs, Monitors) get their now-inert duty grids flattened to 0 so dead rows look dead in the panel - their energy lives in the amp line since 16.6. Sheet cell T22 usage intent copied verbatim into the Subwoofers note. Also archival: subs are grid-vs-scalar clash number six in the camp sheet (grid 11 h vs scalar 24 h behind the old 19.2 kWh)."
16.8,2026-08-13,"By-Area view reorder: Events section now sits directly below Structure (order Kitchen, Structure, Events, Shade City, Ebikes; was Shade City then Events). Rationale: Events holds the party-night sound gear and reads as a sibling of Structure. index.html one-line change; kept as a separate area on purpose - it encodes the party-nights operating regime, and the by-Category view already unifies all Sound rows."
16.9,2026-08-13,"The Source Computer qty corrected 3 to 2 - camp confirms two Mac Minis, matching the sheet; the third appeared unlogged in the console at some point. Saves 3.4 kWh/day. Wattage stays 140 (Intel-era max PSU rating) pending chip identification: Apple-silicon Minis would really draw 10-40 W and the row would then be over-billed about 4x - flagged in the note, kill-a-watt at break-in decides."
17.0,2026-08-13,"The Source projectors: product corrected XGIMI Horizon Pro to Panasonic PT-VMZ50 per nameplate photos (a proposed 150 W XGIMI-based trim was cancelled by the same photos - the sheet 400 W matches the real nameplate, 3.9-1.7 A at 100-240 V, and stands). Window widened 8p-4a to 7p-7a at full, the camp lights-on rule, matching the sheet 12 h scalar: pair now 9.6 kWh/day (was 6.4). Version jumps 16.9 to 17.0 avoiding a 16.10-vs-16.1 lookalike."
17.1,2026-08-13,"Device charging renamed Personal items (devices.csv + schedule.csv, names key the files together): the row now explicitly represents the camp-level allowance for camper personal gear in Shade City - phones, lamps, chargers - at the same 300 W, 0.5 duty, 8a-8p, 1.8 kWh/day. Campers bring their own extension cords. CPAP/medical stays out per camp decision (removed at 0.8, reaffirmed 8/13). Per-camper reference display still personal_items.csv; row origin: added by Claude in the 8/2 devices build as a charging allowance."
17.2,2026-08-13,"Two fixes. One: the Shade City Personal items device row (300 W flat, renamed at 17.1) is deleted from devices.csv and schedule.csv - it double-billed personal gear already covered by the per-camper Personal Items panel (camper-count-driven, about 13.4 kWh/day at full camp, default generator 2 which is the committed PGEN default, no change needed). Two: the Apply-to-rest-of-event button, relabels, and CSS from 16.2/16.3 are restored to index.html - they were lost when a parallel session shipped index.html from an older base; multi-session rule reaffirmed: re-pull and diff before any index edit."
17.3,2026-08-13,"Area view: the camper-driven Personal items block now renders inside the Shade City section (its physical home) instead of a standalone section - bundle row, per-item editor, add button, and gen chip all move in, and the Shade City subtotal becomes equipment plus personal (device and personal event lines summed, previously the syn group showed personal only). Category view unchanged: Personal items stays its own group there. Display-level only; camp totals and fuel math untouched."
17.4,2026-08-13,"Personal items inside Shade City is now a nested drop-down: the bundle row (with its kWh readout and gen chip) always shows; clicking it expands or collapses the per-item lines (Phone, Fans, Add personal item). Collapsed by default, state remembered per browser. Display only."
17.5,2026-08-13,"Orb Lights and Perimeter Lights removed entirely from devices.csv and schedule.csv - camp confirms neither comes in 2026, matching the sheet qty 0 that the console had overridden (8 orbs, 1 perimeter string, about 3.2 kWh/day). History lives in this log and the frozen camp sheet; CPAP removal at 0.8 is the precedent. Safety note: the perimeter string was the designated Never-cut overnight safety lighting - overnight coverage now rests on the kitchen floods 7p-7a window; raise stake-lights at a camp meeting. Two brick-inventory items drop from the shopping list."
